"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"D.scale",0.187454778047072,0.0206328196733891,0.153997736137726,0.172768342357363,0.18542974171163,0.199659727882771,0.234699252786258,1.12626607888472,25
"D.sum",29.4660678062659,6.26339731388932,18.1541778656031,25.0852856199255,29.0831345990082,33.5020719674504,42.1668663120708,1.12626607888472,25
"N[1]",154200.950454007,9690.76728918532,136364.652463312,147381.920018988,154025.789402009,160522.764338062,173643.529736335,1.00447275924037,570
"N[2]",115961.305884952,9494.93968995188,98408.7711681735,109560.130839672,115647.751685097,121902.601639431,135962.925345533,1.00229770334832,1100
"N[3]",180485.281845554,11194.5163464725,159335.571618891,172812.892154801,179907.646416135,187860.157560366,203271.724937399,1.00100018364981,3000
"N[4]",222301.201861777,14337.3107615841,196074.751902602,212398.254380468,221993.406457243,231962.67609844,252017.588253111,1.00408097171242,560
"N[5]",170507.752576531,16143.8825000604,140686.661167031,159457.083178088,169693.971355155,180612.121739252,204782.442582094,1.0006936026995,3000
"N[6]",164527.315834287,10399.7394317985,145262.449356268,157451.720149201,164253.998621334,171584.366825894,185558.36055199,1.00128215077811,2600
"N[7]",240501.825646264,24775.0753207903,199055.72089791,222869.212882792,238546.16051088,255894.497197072,295108.992790007,1.00108503093368,3000
"N[8]",298576.269920309,23079.587103756,256758.681681202,282341.537178279,297395.027270725,313467.057965502,345896.087497768,1.00436941006413,610
"N[9]",270272.028425459,21789.450724729,229995.439278675,255197.8004526,269492.376160098,284139.364529614,315379.569454189,1.0017829528485,1600
"N[10]",215539.253170372,16108.7159124731,185527.594701034,204575.358409561,214997.993381108,225623.393682954,249140.608745055,1.00155198375802,1900
"N[11]",194949.854991336,15573.3250809107,167334.340799865,184144.103296399,194151.522138592,205040.995882924,226400.300660582,1.00294143266985,820
"N[12]",138543.041127086,10342.913763464,118925.541909698,131494.88418477,138266.988194324,145364.39949043,160292.701594215,1.00166120669788,1700
