"q95","q90","Median","q10","q5","Escapement"
0,0,0,0,0,0
29137.2405205158,25793.6757344289,17915.0911070412,12999.7701563453,11891.2374316503,5000
55984.1005966099,49695.5337529681,34909.758133603,25539.6622247831,23395.9804445359,10000
80989.461814447,71888.4674200905,50921.9507882978,37665.5096896504,34552.5537599669,15000
104149.956258594,92721.6877077074,66001.1741258449,49247.2785149865,45252.6897978761,20000
124726.95787125,112031.475229809,80160.1522389743,60497.6058182512,55662.3608740924,25000
144864.518429633,129810.194972819,93603.3209604111,71039.3301339763,65670.3460758696,30000
162917.428480814,146216.248821755,106257.42067555,81265.9031494883,75010.1324424453,35000
179849.874764834,160979.235690765,118178.120286058,90962.0766543152,84266.7012822778,40000
195833.075468035,174292.006531249,129149.204720977,100309.652553038,93014.5623132577,45000
209748.904203985,187414.613600768,139589.999454704,109342.829618646,101431.269395749,50000
223150.827767139,199087.721513811,149246.465537231,118101.837775854,109637.609545864,55000
236220.743550772,209665.628794906,158153.583041007,125932.694473513,117210.429248525,60000
246655.58812009,219158.474533287,166544.616327776,133398.712960927,125011.926330427,65000
258430.450098538,228731.64137294,174625.761322215,140403.60737921,131828.19023064,70000
266895.403113115,237887.938920844,181850.3984274,146918.333219961,138332.388274282,75000
276187.989331922,246064.703774874,188701.681576009,152841.03579058,144378.410311564,80000
284993.586244943,253765.594771872,194705.524538123,158416.11834222,150163.414263409,85000
292348.688545208,262012.501737462,200609.407708625,163913.581298368,155498.494007386,90000
298948.140654114,268693.395274182,206198.355447511,169051.890512827,159987.977338966,95000
306350.151637033,275049.527316334,210947.863563412,173175.15495277,164006.782570185,100000
312452.741757292,281287.895666474,215578.562728941,177339.942109944,167877.389702507,105000
318671.942716645,286170.119300088,219442.256098847,181078.433479677,170785.642279034,110000
323694.909848385,290562.14991648,223436.882511807,183968.178870472,173530.262938495,115000
329456.783358488,294454.968857133,226714.682306288,186250.227299888,175716.414378664,120000
336927.358222724,298485.890183207,229783.547029078,188703.410853911,178311.648171396,125000
343319.994423342,301994.956279995,232630.968529814,190568.970853915,179299.506582957,130000
348423.451940903,307060.331203896,234884.888760555,191638.285761717,180693.972722391,135000
353519.884382466,311168.791861535,237147.441347722,192644.001200751,180993.75961166,140000
357389.575383544,315704.89990451,239019.876052337,193212.718660632,181738.393832689,145000
361511.916962791,319715.34825081,240698.735368982,193119.388699911,181986.503092881,150000
365030.64338516,323513.215552511,242062.686756195,193141.599993368,182159.71479291,155000
368748.167880184,325819.503701201,243185.953112757,192434.376789302,181618.680755726,160000
370917.283825051,330241.772393089,243977.255062884,191509.418981644,180268.046007393,165000
375306.653968389,331294.385446963,244776.52329008,190321.64017616,179469.455032668,170000
379509.366695655,335710.961044862,245216.125874663,189210.443353673,178600.460482528,175000
383520.386022797,338925.847300725,245887.052506159,188200.82432215,176222.211107284,180000
386651.671470909,341187.757080169,246299.369896646,187317.425409847,173667.872719557,185000
388405.173007661,344658.918674351,246365.234655767,186029.271826281,171657.468243045,190000
392344.06255336,347887.871131456,245749.709488189,184263.820895675,169452.60707886,195000
396196.922076181,349052.328246868,245283.473932767,182033.927703244,167067.819570558,200000
397964.034842837,351669.225748698,245139.899283903,179582.282759447,164895.920398847,205000
402240.226419525,353434.381052367,244522.740328079,177272.138108454,162229.552026155,210000
402614.214372538,355956.543006786,243850.198039441,175109.801838682,159931.928785311,215000
406845.087212944,357277.479600866,242465.602708651,172594.85024588,157133.792940772,220000
408221.190885122,359355.868887382,241494.440005419,170128.462919437,154682.81801436,225000
408504.357406492,360737.188890382,239919.137151703,167817.979788761,151903.141344006,230000
411155.193010438,362327.878850445,238779.787117351,165152.444862622,148898.14812706,235000
413734.987154654,363744.078964745,237071.298375808,162212.674622498,146100.843133112,240000
416380.327735754,363742.171415572,235281.266179101,159775.142455079,142942.146974921,245000
417494.116028473,364662.13494384,233962.257920611,157257.709295651,139900.881267997,250000
419291.860380853,363904.154855945,232663.198459346,154275.227023893,136487.121022928,255000
422290.669054301,364699.341210738,231000.139202873,152207.128097509,133752.344808229,260000
423776.629890098,365903.630282269,229243.29566501,149468.626624335,130931.772540772,265000
425130.856219869,365786.94736671,227533.497237956,146314.88870415,127596.493941933,270000
426411.619184156,366133.479646178,225445.479493958,143373.764792219,124410.144041697,275000
430007.154015553,367568.761027576,223408.855301717,140448.271990455,121103.427134138,280000
430978.997137078,368318.955089315,221416.33287685,137538.683101513,118129.68067967,285000
431460.572154982,369903.800260298,219614.054848348,135037.107110816,115209.095529656,290000
433994.397972965,370891.74025185,217623.506751756,132029.7420844,112553.863302826,295000
437025.585815651,370969.423024566,215845.087462498,129170.01481782,109594.920326532,300000
439668.243271693,371202.957644049,214008.813412111,126283.06691094,106686.776553223,305000
441956.406010445,371145.670714119,212241.219660466,123450.488126285,103807.510408318,310000
445040.259849193,372181.495969229,209758.091565602,120578.281403801,100881.777455194,315000
446275.634483,372075.186747553,207681.700044269,117697.804028089,98137.4500930206,320000
447326.005074498,371508.459926035,205331.019005581,114635.578697737,95501.3616417531,325000
448293.308692073,371378.662875726,202535.182978108,111682.381939321,93002.0080730434,330000
450180.672518983,370443.211061069,200092.437759335,109127.036016187,90806.0872249444,335000
450023.585921394,368340.140121747,197948.534446216,106329.414084382,88270.5233359118,340000
449403.230103197,367540.598262276,195484.492237802,103738.825669388,85928.2580269071,345000
448778.866867118,367172.105215332,192962.300991709,101080.404915243,83352.9387098522,350000
448744.193067542,366829.556060992,190241.744474312,98724.3684898044,80824.4549060784,355000
