"","year","h.below2.5.","h.below25.","h.below50.","h.below75.","h.below97.5.","mu.hbelow2.5.","mu.hbelow25.","mu.hbelow50.","mu.hbelow75.","mu.hbelow97.5.","S2.5.","S25.","S50.","S75.","S97.5.","N2.5.","N25.","N50.","N75.","N97.5.","log.resid2.5.","log.resid25.","log.resid50.","log.resid75.","log.resid97.5.","R2.5.","R25.","R50.","R75.","R97.5.","log.qS.mr2.5.","log.qS.mr25.","log.qS.mr50.","log.qS.mr75.","log.qS.mr97.5.","log.qS.weir2.5.","log.qS.weir25.","log.qS.weir50.","log.qS.weir75.","log.qS.weir97.5.","qS.weir2.5.","qS.weir25.","qS.weir50.","qS.weir75.","qS.weir97.5.","qS.mr2.5.","qS.mr25.","qS.mr50.","qS.mr75.","qS.mr97.5."
"1",1970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83680.2442664908,116296.536485576,136236.070813172,156401.475534823,203652.894285254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113655.213822216,128664.959813837,137045.620261563,146175.711056102,165282.059661921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123774.879437696,139347.901662179,147515.135607475,156413.308659215,174295.009933232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",1973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,141195.03198828,159227.002037983,169068.386187993,179298.478926529,201091.411211303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,204879.87397521,225906.051056827,239347.843562999,252159.375258568,279327.527491795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",1975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147655.435871767,166417.628046015,176727.161196681,188037.086786814,210033.992646511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",1976,48395.0943445198,55116.4542033281,58968.4613439889,63184.6651151385,71145.2879614914,0.325379240366265,0.362774982883472,0.383429537147675,0.402687079099333,0.440467936596293,80883.5798695173,90109.9214219215,95188.9035885981,100289.186993938,111260.828200849,136360.244713401,147725.035613344,154482.578484792,161187.887339486,174413.48917604,-0.227361680472194,0.0511004359545897,0.175278349132183,0.304486421255383,0.599429855366698,167765.765278271,190644.395791566,202936.313483191,217337.289009972,246850.392004179,11.7828527085497,11.8741385104387,11.922092012779,11.9673311787734,12.0575197989062,11.0548075676382,11.1166367150099,11.1502914302562,11.1839134771718,11.2452389719843,63247.2906199548,67281.2393416297,69584.1040573211,71963.4389865404,76514.7624088677,130986.91529724,143506.916337942,150556.244773527,157523.69633778,172390.892066201
"8",1977,35433.5343202469,40151.6592269192,42881.7371966419,45722.4019311753,51712.088014697,0.302292915894783,0.346668822967662,0.371027290391621,0.395278402590686,0.443501358098393,58160.5151009952,67304.497760369,72817.062514188,78674.2217644876,91290.4547851602,98637.9324139892,110098.772684835,115945.045144132,122083.265236073,135236.740710105,0.102840937834038,0.371948478735518,0.510648279920694,0.65692014384077,0.980276011185524,200221.178450746,229259.051027442,246150.792883622,263601.816396225,298901.135970753,11.4363039265697,11.5798365474632,11.6543399148382,11.7248684514505,11.8612485576489,10.6805320819851,10.817712778486,10.8825125831067,10.9460886598799,11.07246105611,43500.6906562525,49896.8312962331,53237.1948903237,56731.71411455,64373.7396311413,92624.0340193383,106920.040331832,115190.195832451,123607.741353561,141668.990352358
"9",1978,73171.5152678526,82807.4209293636,88164.7235324273,93993.6083829913,107397.513168449,0.427406711220791,0.467874350558279,0.489435283665385,0.50992223039724,0.551351637413173,78751.7721913556,87231.8639387354,92187.4022647839,97339.2041276932,108115.876187457,160210.957484598,173402.498066949,180702.312765135,188463.485745322,204225.999072334,-0.0153477999131248,0.2571348886749,0.388206920852303,0.51768774243953,0.819810137042688,202108.717593665,231403.948145083,247549.409385908,264359.246947062,297447.330332385,11.7569883195873,11.8421675123654,11.8908494575705,11.9368718685423,12.0265642099082,11.0236458409742,11.0860514077373,11.1170682095546,11.150611524002,11.2172357329369,61306.7874635869,65254.5730641865,67310.2770878113,69606.3810649988,74401.8238344613,127642.456631621,138991.424197117,145925.202478177,152797.969742609,167136.180358973
"10",1979,92420.743814608,105282.155782937,112709.185256074,120069.189658463,135675.277527446,0.445795479927106,0.484079559627101,0.505202578792475,0.528131765826864,0.567543513246402,94201.7201836711,103826.52304104,109917.914673043,116166.320385904,128732.4716402,195383.128202861,213314.452006792,222768.122644907,232716.095978001,252819.620992847,0.21158034847533,0.474114204385322,0.594816644821561,0.715233048193441,1.00975632692544,280087.726339424,312427.237615343,329864.299638953,347595.446978144,386670.589307576,11.930432968657,12.0175726905345,12.0676592361503,12.1126931105662,12.19796726871,11.1936757992177,11.2597804782898,11.2952052785847,11.3276055316048,11.3913865228986,72669.4096033269,77635.5312703854,80435.0478434103,83083.8428491138,88555.6567579763,151817.279758519,165640.108144741,174147.729227131,182169.54740196,198385.476668495
