"q95","q90","Median","q10","q5","Escapement"
0,0,0,0,0,0
17236.6616534258,15227.3597132227,9660.13895670863,5506.07946339215,4242.15050657953,5000
32838.1127208658,29052.2391550783,18532.308676933,10648.8928049644,8190.21304314131,10000
46813.8253584925,41424.374212342,26621.0335030798,15384.0607138403,11794.3124158749,15000
59602.2384717765,52521.9754970333,33992.7444751647,19740.6444467811,15166.4637725517,20000
70897.2872639114,62432.0101770048,40669.2325985414,23789.9680619729,18273.8809037579,25000
80657.5902107279,71438.0121101223,46623.7214786039,27366.5574720009,21211.9184619113,30000
89616.8530741655,79375.142686527,52152.6897240075,30698.3589442447,23753.9676149176,35000
97716.8912893297,86132.0576550965,56975.9998414965,33452.5568505924,26285.532249473,40000
104494.715875315,92012.0582546849,61091.0935779287,35811.9395918022,28189.8243242235,45000
109921.484870837,97266.5836597914,64790.4544276188,38167.8634808109,29911.4747995148,50000
114933.204009032,101230.86117565,67999.3128682087,39954.0170073278,31523.4916064812,55000
119307.513972343,105290.081142051,70526.5545960474,41246.4478053363,32329.8030325038,60000
122150.938148221,108628.78844956,72806.3098302751,42385.7657369659,32945.2550201272,65000
125143.840480667,111274.589524824,74580.8705996985,43138.4482521088,33902.5316103629,70000
127314.193753757,112858.337599105,75468.2147436992,43541.7760865152,33891.1943591763,75000
128184.749818065,114180.491949893,76358.7291163719,43781.1379016689,33699.8794585317,80000
129293.20253854,115725.973713098,76385.2792862869,43624.1881989346,32928.9084563885,85000
130688.461517831,116695.01802628,76256.5876549334,42771.7257561181,31939.8031992764,90000
131860.832200528,116867.128796498,75607.9869116807,41900.2567401439,30418.0861457663,95000
131421.363720782,116996.972257942,74737.0794814693,40482.4065243423,29136.2215268943,100000
131475.512107998,116407.116886297,73428.3061974123,38926.3510194475,26945.2849315701,105000
131804.402396723,115163.284451868,71597.7496893808,37242.9162064282,24697.857012893,110000
130929.892944435,114686.275524376,69812.1573610783,34746.7350705445,22031.9437704297,115000
131110.989805846,113060.248848781,67688.3332688715,31537.6103973597,19688.8762338112,120000
129907.842759351,112112.18571124,65512.5058738794,28349.6390519126,16385.3079496976,125000
130129.062745519,111733.927082612,62673.2336546306,24397.510178801,12681.4611838655,130000
129545.875822691,110184.373149518,59974.7308851528,20520.5312163546,8930.70792382406,135000
127423.666638721,108148.153265179,56662.1716831609,16358.6565565352,3954.98420488794,140000
125272.48649974,105861.967266353,53563.0111949234,11326.2144904276,-226.925275905392,145000
123442.451712654,103335.456300357,50126.1842563586,6746.57358266034,-5749.72917689624,150000
122077.438115127,101076.008823971,46459.2795861766,2144.05830242915,-11097.4919455852,155000
119549.595690914,98657.6994224259,42494.6747035282,-2967.80795498046,-16577.2310816798,160000
117933.863385659,96516.436410386,38251.9922014792,-8379.46320051823,-22203.0848310936,165000
115776.713513144,93586.0219387673,33757.9515668056,-14458.4537227598,-28322.5115348519,170000
113082.968760361,91180.0644883537,29010.2486579256,-20478.439487249,-34588.5867480829,175000
110818.146798236,88334.2811350081,24483.5231066777,-26772.5184190065,-40540.0671142765,180000
109673.32216635,84869.0234121683,19211.9463561597,-32812.657652987,-46355.4970543356,185000
107744.424067637,81452.1806114579,14209.3338484624,-39410.4701259907,-52746.1295361594,190000
105415.277053505,77900.1435637156,9169.51912462537,-45782.9982834951,-59289.4449559969,195000
101284.165071125,74811.7633925116,4267.88480826403,-52212.6556631968,-65940.7675790771,200000
98312.2873370399,72080.6227054611,-1046.66468539563,-58901.0807123136,-72944.8653762598,205000
94573.7914864302,68624.5541137725,-6211.0433567112,-65924.6647343857,-79198.0823939344,210000
91862.9382976906,65157.4071617769,-11348.1202195753,-72603.2854404592,-85903.671344893,215000
89234.5462755929,61452.1427549258,-17187.6884312202,-79201.9133543343,-93251.5570688735,220000
86877.8376380104,57431.8640901361,-23202.4096811264,-86222.8306610418,-100605.321738285,225000
83415.8938667022,54060.9454666764,-29318.0836117014,-93232.564417523,-107950.058709165,230000
80895.010770016,49949.8041677421,-35533.3179224186,-100496.128386157,-114994.74032631,235000
78041.3137233645,45737.7634517523,-42011.9627502392,-107984.623771544,-121891.531670767,240000
75528.4077500392,41106.9868963614,-48074.3957910691,-115455.665781845,-128865.408912905,245000
72701.6616380465,36985.4656995376,-54458.1848487651,-122284.803071534,-135745.396247966,250000
69371.7362193788,32542.3326752202,-60907.7377597369,-129170.073827485,-142981.312711391,255000
66869.9873351719,28077.1715064096,-67645.3778523839,-136465.114634829,-150655.978292375,260000
64452.4044894224,23406.1906538359,-74077.9680171135,-143939.536743844,-158001.488410263,265000
61038.1374299521,18569.8969798596,-80786.7346312408,-151355.883920463,-165473.102925049,270000
58177.1471874885,14745.5858520067,-87483.5529349587,-158747.469232841,-172724.477004125,275000
55083.9843370005,10289.8543836305,-93656.399149419,-165979.473008897,-180111.593345746,280000
51698.5870062417,5616.58255245101,-100666.306883938,-173223.018931462,-187201.247438905,285000
48432.4874072167,936.416571639272,-107171.130869436,-180454.831858437,-194493.567993868,290000
44611.2627643201,-4993.53675963192,-113975.965002655,-187798.605914637,-201933.424848296,295000
40477.2732057155,-9369.54380272336,-120905.896985044,-194697.261403558,-208850.851528367,300000
35935.5824709617,-15162.2926817206,-127918.444527635,-201772.899798346,-216141.435118503,305000
31601.3750386914,-19808.1769729257,-135075.491341431,-209192.942133491,-223382.291678279,310000
26865.0718015895,-25087.3369784231,-142005.759478407,-216459.58524195,-230634.079191189,315000
22969.177723887,-29574.2256633661,-148764.854611529,-223145.35391475,-237886.02721937,320000
17311.0218702265,-33478.9681614435,-155901.083596708,-230065.89735392,-245009.033614853,325000
13446.076536445,-38407.8612409527,-163058.883071721,-237692.272025288,-251762.475868999,330000
9243.81374252273,-43967.6966703138,-169967.142054398,-244368.729456974,-258643.985506201,335000
4929.5640458489,-48953.1378593112,-176867.823659433,-251409.753366053,-265737.49208449,340000
772.17220695139,-54408.9604037385,-183642.918895,-258474.967828676,-272622.400447786,345000
-3285.22181569051,-59688.4244528377,-190553.894407739,-265569.900873753,-279862.207183842,350000
-9877.75490504455,-64663.2295279814,-197661.42532811,-272510.994396473,-286769.712592319,355000
