,beta,lnalpha,lnalpha.c,S.max,S.eq.c,U.msy_Hilborn,S.msy_Hilborn,Smsy_lambert,Umsy_lambert,,
5011000,6.56E-06,0.948911173,1.109343854,152444.9365,169113.8534,0.468526862,71424.54771,71884.71241,0.471545425,155092.7339,0.5345847
5012000,6.75E-06,1.318976805,1.439580458,148229.3655,213388.0979,0.574722796,85190.79544,85625.11258,0.577652831,2396140.357,0.089156139
5013000,4.54E-06,0.890794687,1.356967046,220220.169,298831.5122,0.549588354,121030.4401,121698.0774,0.552620035,,
5014000,4.31E-06,1.284926362,1.519205586,232273.4137,352871.0677,0.5980438,138909.675,139557.3453,0.600832196,,
5015000,5.49E-06,1.149777679,1.296730241,182033.3979,236048.212,0.530659468,96597.74614,97157.25435,0.533733125,,
5016000,7.37E-06,1.405625873,1.56661865,135773.7934,212705.7569,0.611508745,83026.86206,83391.60135,0.61419512,,
5017000,8.14E-06,1.532190646,1.665324672,122840.2887,204568.9635,0.638530898,78437.31979,78737.11325,0.640971412,,
5018000,4.40E-06,0.671343024,0.91623992,227301.9458,208263.1165,0.399355268,90774.22959,91381.79521,0.402028214,,
5019000,2.74E-06,0.853435788,1.202097378,364466.6818,438124.4427,0.499896022,182195.4443,183318.5279,0.502977465,,
5020000,7.01E-06,1.074492353,1.289603742,142676.964,183996.7466,0.528386424,75388.57081,75827.55175,0.531463171,,
5021000,5.40E-06,1.09107492,1.239899718,185082.0701,229483.2064,0.512335267,94824.07181,95395.42193,0.515422277,,
5022000,1.01E-06,0.641489538,0.843240801,986968.1331,832251.7989,0.371846547,367000.6923,369443.6514,0.374321763,,
5023000,6.98E-06,1.345963747,1.877928833,143350.543,269202.1179,0.692101247,99213.08963,99477.17014,0.693943448,,
5024000,5.91E-06,0.950833102,1.232323878,169096.5774,208381.75,0.509858389,86215.30857,86737.28001,0.512945214,,
5025000,4.18E-06,1.624184974,2.093035506,238978.7829,500191.0778,0.739861919,176811.3009,177137.7452,0.741227916,,
5026000,4.48E-06,0.938268746,1.134150601,223313.8249,253271.5087,0.477034469,106528.392,107207.7582,0.480076673,,
5027000,4.99E-06,1.151013895,1.408999968,200556.0797,282583.5099,0.56553032,113420.544,114016.8688,0.568503677,,
5028000,5.98E-06,1.236712169,1.415464902,167165.0914,236616.3198,0.567484589,94863.61319,95359.21452,0.570449331,,
